Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.61,0.6158,0.959,0.75,0.4751
Random Forest,0.495,0.5814,0.6148,0.5976,0.4164
XGBoost,0.515,0.5887,0.6803,0.6312,0.4219
Logistic Regression,0.61,0.6158,0.959,0.75,0.4751
Random Forest,0.495,0.5814,0.6148,0.5976,0.4164
XGBoost,0.515,0.5887,0.6803,0.6312,0.4219
Logistic Regression,0.61,0.6158,0.959,0.75,0.4751
Random Forest,0.495,0.5814,0.6148,0.5976,0.4164
XGBoost,0.515,0.5887,0.6803,0.6312,0.4219
Logistic Regression,0.61,0.6158,0.959,0.75,0.4751
Random Forest,0.495,0.5814,0.6148,0.5976,0.4164
XGBoost,0.515,0.5887,0.6803,0.6312,0.4219
Logistic Regression,0.61,0.6158,0.959,0.75,0.4751
Random Forest,0.495,0.5814,0.6148,0.5976,0.4164
XGBoost,0.515,0.5887,0.6803,0.6312,0.4219
Logistic Regression,0.61,0.6158,0.959,0.75,0.4751
Random Forest,0.495,0.5814,0.6148,0.5976,0.4164
XGBoost,0.515,0.5887,0.6803,0.6312,0.4219
