Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression Fuzzy,0.555,0.5954,0.8443,0.6983,0.4225
Random Forest Fuzzy,0.515,0.594,0.6475,0.6196,0.4243
XGBoost Fuzzy,0.55,0.6127,0.7131,0.6591,0.4353
Logistic Regression Fuzzy,0.555,0.5954,0.8443,0.6983,0.4225
Random Forest Fuzzy,0.515,0.594,0.6475,0.6196,0.4243
XGBoost Fuzzy,0.55,0.6127,0.7131,0.6591,0.4353
Logistic Regression Fuzzy,0.555,0.5954,0.8443,0.6983,0.4225
Random Forest Fuzzy,0.515,0.594,0.6475,0.6196,0.4243
XGBoost Fuzzy,0.55,0.6127,0.7131,0.6591,0.4353
Logistic Regression Fuzzy,0.555,0.5954,0.8443,0.6983,0.4225
Random Forest Fuzzy,0.515,0.594,0.6475,0.6196,0.4243
XGBoost Fuzzy,0.55,0.6127,0.7131,0.6591,0.4353
Logistic Regression Fuzzy,0.555,0.5954,0.8443,0.6983,0.4225
Random Forest Fuzzy,0.515,0.594,0.6475,0.6196,0.4243
XGBoost Fuzzy,0.55,0.6127,0.7131,0.6591,0.4353
Logistic Regression Fuzzy,0.555,0.5954,0.8443,0.6983,0.4225
Random Forest Fuzzy,0.515,0.594,0.6475,0.6196,0.4243
XGBoost Fuzzy,0.55,0.6127,0.7131,0.6591,0.4353
